,date,euribor
0,2011-01,1.55
1,2011-02,1.714
2,2011-03,1.924
3,2011-04,2.086
4,2011-05,2.147
5,2011-06,2.144
6,2011-07,2.183
7,2011-08,2.097
8,2011-09,2.067
9,2011-10,2.11
10,2011-11,2.044
11,2011-12,2.004
12,2012-01,1.837
13,2012-02,1.678
14,2012-03,1.499
15,2012-04,1.368
16,2012-05,1.266
17,2012-06,1.219
18,2012-07,1.061
19,2012-08,0.877
20,2012-09,0.74
21,2012-10,0.65
22,2012-11,0.588
23,2012-12,0.549
24,2013-01,0.575
25,2013-02,0.594
26,2013-03,0.545
27,2013-04,0.528
28,2013-05,0.484
29,2013-06,0.507
30,2013-07,0.525
31,2013-08,0.542
32,2013-09,0.543
33,2013-10,0.541
34,2013-11,0.506
35,2013-12,0.543
36,2014-01,0.562
37,2014-02,0.549
38,2014-03,0.577
39,2014-04,0.604
40,2014-05,0.592
41,2014-06,0.513
42,2014-07,0.488
43,2014-08,0.469
44,2014-09,0.362
45,2014-10,0.338
46,2014-11,0.335
47,2014-12,0.329
48,2015-01,0.298
49,2015-02,0.255
50,2015-03,0.212
51,2015-04,0.18
52,2015-05,0.165
53,2015-06,0.163
54,2015-07,0.167
55,2015-08,0.161
56,2015-09,0.154
57,2015-10,0.128
58,2015-11,0.08
59,2015-12,0.059
60,2016-01,0.042
61,2016-02,-0.008
62,2016-03,-0.012
63,2016-04,-0.01
64,2016-05,-0.013
65,2016-06,-0.028
66,2016-07,-0.056
67,2016-08,-0.048
68,2016-09,-0.057
69,2016-10,-0.069
70,2016-11,-0.074
71,2016-12,-0.08
72,2017-01,-0.095
73,2017-02,-0.106
74,2017-03,-0.11
75,2017-04,-0.119
76,2017-05,-0.127
77,2017-06,-0.149
78,2017-07,-0.154
79,2017-08,-0.156
80,2017-09,-0.168
81,2017-10,-0.18
82,2017-11,-0.189
83,2017-12,-0.19
84,2018-01,-0.189
85,2018-02,-0.191
86,2018-03,-0.191
87,2018-04,-0.19
88,2018-05,-0.188
89,2018-06,-0.181
90,2018-07,-0.18
91,2018-08,-0.169
92,2018-09,-0.166
93,2018-10,-0.154
94,2018-11,-0.147
95,2018-12,-0.129
96,2019-01,-0.116
97,2019-02,-0.108
98,2019-03,-0.109
99,2019-04,-0.112
100,2019-05,-0.134
101,2019-06,-0.19
102,2019-07,-0.283
103,2019-08,-0.356
104,2019-09,-0.339
105,2019-10,-0.304
106,2019-11,-0.272
107,2019-12,-0.261
108,2020-01,-0.253
109,2020-02,-0.288
110,2020-03,-0.266
111,2020-04,-0.108
112,2020-05,-0.081
113,2020-06,-0.147
114,2020-07,-0.279
115,2020-08,-0.359
116,2020-09,-0.415
117,2020-10,-0.466
118,2020-11,-0.481
119,2020-12,-0.497
120,2021-01,-0.505
121,2021-02,-0.501
122,2021-03,-0.487
123,2021-04,-0.484
124,2021-05,-0.481
125,2021-06,-0.484
126,2021-07,-0.491
127,2021-08,-0.498
128,2021-09,-0.492
129,2021-10,-0.477
130,2021-11,-0.487
131,2021-12,-0.502
132,2022-01,-0.477
133,2022-02,-0.335
134,2022-03,-0.237
135,2022-04,0.013
136,2022-05,0.287
137,2022-06,0.852
138,2022-07,0.992
139,2022-08,0.0
140,2022-09,0.0
141,2022-10,0.0
142,2022-11,0.0
143,2022-12,0.0
